Tempo (0.100 seg);PV;SP;MV
2529.00;50.97;50.00;40.69
2529.10;49.43;50.00;42.24
2529.20;49.83;50.00;41.83
2529.30;49.71;50.00;41.96
2529.40;49.33;50.00;42.34
2529.50;49.79;50.00;41.89
2529.60;49.21;50.00;42.47
2529.70;49.72;50.00;41.96
2529.80;48.92;50.00;42.78
2529.90;50.23;50.00;41.46
2530.00;49.04;50.00;42.66
2530.10;50.29;50.00;41.41
2530.20;49.78;50.00;41.93
2530.30;48.99;50.00;42.73
2530.40;50.05;50.00;41.66
2530.50;50.60;50.00;41.11
2530.60;49.56;50.00;42.15
2530.70;50.40;50.00;41.31
2530.80;50.45;50.00;41.25
2530.90;49.15;50.00;42.56
2531.00;49.83;50.00;41.88
2531.10;50.69;50.00;41.02
2531.20;50.84;50.00;40.86
2531.30;49.64;50.00;42.06
2531.40;50.52;50.00;41.18
2531.50;50.78;50.00;40.91
2531.60;49.69;50.00;42.01
2531.70;49.90;50.00;41.79
2531.80;50.89;50.00;40.79
2531.90;49.45;50.00;42.24
2532.00;49.25;50.00;42.45
2532.10;49.20;50.00;42.50
2532.20;50.04;50.00;41.67
2532.30;49.60;50.00;42.11
2532.40;50.24;50.00;41.47
2532.50;49.59;50.00;42.12
2532.60;49.22;50.00;42.50
2532.70;50.70;50.00;41.01
2532.80;50.91;50.00;40.80
2532.90;50.33;50.00;41.37
2533.00;50.73;50.00;40.96
2533.10;49.72;50.00;41.97
2533.20;50.73;50.00;40.96
2533.30;50.44;50.00;41.24
2533.40;51.08;50.00;40.59
2533.50;49.68;50.00;42.00
2533.60;50.52;50.00;41.15
2533.70;49.26;50.00;42.42
2533.80;50.87;50.00;40.80
2533.90;49.64;50.00;42.03
2534.00;49.16;50.00;42.52
2534.10;50.81;50.00;40.86
2534.20;49.46;50.00;42.22
2534.30;50.39;50.00;41.29
2534.40;49.06;50.00;42.62
2534.50;49.74;50.00;41.95
2534.60;50.09;50.00;41.59
2534.70;49.57;50.00;42.12
2534.80;50.08;50.00;41.61
2534.90;50.71;50.00;40.98
2535.00;49.67;50.00;42.01
2535.10;50.49;50.00;41.19
2535.20;50.07;50.00;41.61
2535.30;49.58;50.00;42.11
2535.40;49.16;50.00;42.54
2535.50;50.55;50.00;41.14
2535.60;50.14;50.00;41.55
2535.70;50.12;50.00;41.56
2535.80;50.58;50.00;41.10
2535.90;49.32;50.00;42.36
2536.00;50.52;50.00;41.16
2536.10;50.47;50.00;41.20
2536.20;50.30;50.00;41.38
2536.30;49.36;50.00;42.32
2536.40;49.27;50.00;42.42
2536.50;49.12;50.00;42.58
2536.60;50.00;50.00;41.69
2536.70;50.72;50.00;40.97
2536.80;49.62;50.00;42.07
2536.90;49.28;50.00;42.41
2537.00;49.04;50.00;42.67
