Tempo (0.100 seg);PV;SP;MV
19.80;59.72;60.00;41.88
19.90;60.73;60.00;41.03
20.00;59.68;60.00;41.91
20.10;59.81;60.00;41.81
20.20;60.44;60.00;41.27
20.30;59.49;60.00;42.07
20.40;60.02;60.00;41.63
20.50;60.90;60.00;40.89
20.60;60.72;60.00;41.03
20.70;60.47;60.00;41.24
20.80;59.30;60.00;42.22
20.90;59.51;60.00;42.05
21.00;58.77;60.00;42.67
21.10;59.87;60.00;41.76
21.20;58.91;60.00;42.57
21.30;58.89;60.00;42.60
21.40;58.81;60.00;42.67
21.50;60.44;60.00;41.31
21.60;60.53;60.00;41.23
21.70;58.66;60.00;42.79
21.80;60.10;60.00;41.60
21.90;60.74;60.00;41.06
22.00;59.62;60.00;42.00
22.10;60.38;60.00;41.36
22.20;59.28;60.00;42.28
22.30;60.94;60.00;40.89
22.40;59.62;60.00;42.00
22.50;59.86;60.00;41.80
22.60;59.15;60.00;42.39
22.70;60.33;60.00;41.41
22.80;59.73;60.00;41.90
22.90;59.26;60.00;42.30
23.00;61.21;60.00;40.67
23.10;59.43;60.00;42.16
23.20;58.96;60.00;42.56
23.30;60.77;60.00;41.04
23.40;60.66;60.00;41.13
23.50;60.89;60.00;40.93
23.60;60.19;60.00;41.51
23.70;59.17;60.00;42.37
23.80;60.79;60.00;41.02
23.90;59.77;60.00;41.86
24.00;60.02;60.00;41.66
24.10;59.73;60.00;41.90
24.20;61.09;60.00;40.75
24.30;59.10;60.00;42.42
24.40;60.40;60.00;41.34
24.50;59.20;60.00;42.35
24.60;60.02;60.00;41.66
24.70;60.58;60.00;41.19
24.80;61.24;60.00;40.63
24.90;59.26;60.00;42.29
25.00;60.18;60.00;41.51
25.10;61.23;60.00;40.63
25.20;60.31;60.00;41.40
25.30;59.69;60.00;41.91
25.40;59.38;60.00;42.18
25.50;61.11;60.00;40.73
25.60;60.45;60.00;41.27
25.70;60.13;60.00;41.54
25.80;60.85;60.00;40.93
25.90;60.29;60.00;41.40
26.00;60.26;60.00;41.42
26.10;60.80;60.00;40.96
26.20;59.91;60.00;41.70
26.30;59.72;60.00;41.86
26.40;59.26;60.00;42.26
26.50;59.76;60.00;41.84
